timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Jan 9, 2026 @ 10:41:25.974",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:25.974",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:25.967",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:25.886",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:25.711",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:25.691",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:25.089",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:25.082",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:25.082",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:25.062",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:23.739",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:23.402",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:23.395",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:23.337",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:23.312",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:23.290",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:23.282",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
